"group","id","chrom","nSNP","from","to","lengthBps","population","Country"
"-9","ALL_RunHi1c-TAG-53.bam","BDMI01000005.1",27,12405036,12412090,7054,"D. abyssinica","Benin"
"-9","ALL_RunHi1c-TAG-53.bam","BDMI01000010.1",20,557325,559225,1900,"D. abyssinica","Benin"
"-9","ALL_RunHi1c-TAG-54.bam","BDMI01000001.1",20,10693339,10694969,1630,"Western D. praehensilis","Benin"
"-9","ALL_RunHi4c-TAG-100.bam","BDMI01000005.1",29,12405036,12412256,7220,"D. abyssinica","Ghana"
"-9","ALL_RunHi4c-TAG-40.bam","BDMI01000001.1",20,10693174,10694879,1705,"Western D. praehensilis","Ghana"
"-9","ALL_RunHi4c-TAG-41.bam","BDMI01000004.1",20,5790846,5841269,50423,"Western D. praehensilis","Ghana"
"-9","ALL_RunHi4c-TAG-41.bam","BDMI01000005.1",20,12405036,12411574,6538,"Western D. praehensilis","Ghana"
"-9","ALL_RunHi4c-TAG-41.bam","BDMI01000010.1",22,557366,561693,4327,"Western D. praehensilis","Ghana"
"-9","ALL_RunHi4c-TAG-42.bam","BDMI01000005.1",29,12405036,12412256,7220,"Western D. praehensilis","Ghana"
"-9","ALL_RunHi4c-TAG-42.bam","BDMI01000010.1",21,557887,561693,3806,"Western D. praehensilis","Ghana"
"-9","ALL_RunHi4c-TAG-42.bam","BDMI01000017.1",20,9325129,9327893,2764,"Western D. praehensilis","Ghana"
"-9","ALL_RunHi4c-TAG-43.bam","BDMI01000005.1",22,12404970,12411574,6604,"Western D. praehensilis","Ghana"
"-9","ALL_RunHi4c-TAG-43.bam","BDMI01000010.1",21,557887,561693,3806,"Western D. praehensilis","Ghana"
"-9","ALL_RunHi4c-TAG-43.bam","BDMI01000017.1",28,9323045,9327893,4848,"Western D. praehensilis","Ghana"
"-9","ALL_RunHi4c-TAG-44.bam","BDMI01000005.1",33,12404961,12412262,7301,"Western D. praehensilis","Ghana"
"-9","ALL_RunHi4c-TAG-44.bam","BDMI01000010.1",21,557887,561693,3806,"Western D. praehensilis","Ghana"
"-9","ALL_RunHi4c-TAG-46.bam","BDMI01000005.1",20,12405036,12411574,6538,"Western D. praehensilis x D. rotundata","Ghana"
"-9","ALL_RunHi4c-TAG-46.bam","BDMI01000010.1",22,557366,561693,4327,"Western D. praehensilis x D. rotundata","Ghana"
"-9","ALL_RunHi4c-TAG-46.bam","BDMI01000017.1",28,9323045,9327893,4848,"Western D. praehensilis x D. rotundata","Ghana"
"-9","ALL_RunHi4c-TAG-47.bam","BDMI01000005.1",20,12405036,12411574,6538,"Western D. praehensilis x D. rotundata","Ghana"
"-9","ALL_RunHi4c-TAG-47.bam","BDMI01000010.1",21,557887,561693,3806,"Western D. praehensilis x D. rotundata","Ghana"
"-9","ALL_RunHi4c-TAG-47.bam","BDMI01000017.1",28,9323045,9327893,4848,"Western D. praehensilis x D. rotundata","Ghana"
"-9","ALL_RunHi4c-TAG-48.bam","BDMI01000005.1",31,12405036,12412697,7661,"D. rotundata","Ghana"
"-9","ALL_RunHi4c-TAG-48.bam","BDMI01000010.1",25,557070,579643,22573,"D. rotundata","Ghana"
"-9","ALL_RunHi4c-TAG-49.bam","BDMI01000005.1",26,12405036,12412048,7012,"D. rotundata","Ghana"
"-9","ALL_RunHi4c-TAG-49.bam","BDMI01000010.1",25,557070,579643,22573,"D. rotundata","Ghana"
"-9","ALL_RunHi4c-TAG-50.bam","BDMI01000005.1",30,12405036,12412262,7226,"D. rotundata","Ghana"
"-9","ALL_RunHi4c-TAG-50.bam","BDMI01000010.1",22,557887,579643,21756,"D. rotundata","Ghana"
"-9","ALL_RunHi4c-TAG-50.bam","BDMI01000017.1",28,9323045,9327893,4848,"D. rotundata","Ghana"
"-9","ALL_RunHi4c-TAG-51.bam","BDMI01000005.1",26,12405036,12412048,7012,"D. rotundata","Ghana"
"-9","ALL_RunHi4c-TAG-52.bam","BDMI01000005.1",31,12405036,12412697,7661,"D. rotundata","Ghana"
"-9","ALL_RunHi4c-TAG-52.bam","BDMI01000010.1",23,557325,561693,4368,"D. rotundata","Ghana"
"-9","ALL_RunHi4c-TAG-54.bam","BDMI01000010.1",24,557325,579643,22318,"D. rotundata","Ghana"
"-9","ALL_RunHi4c-TAG-54.bam","BDMI01000017.1",24,9324926,9327893,2967,"D. rotundata","Ghana"
"-9","ALL_RunHi4c-TAG-56.bam","BDMI01000005.1",30,12404970,12412097,7127,"D. rotundata","Ghana"
"-9","ALL_RunHi4c-TAG-56.bam","BDMI01000010.1",23,557325,561693,4368,"D. rotundata","Ghana"
"-9","ALL_RunHi4c-TAG-56.bam","BDMI01000017.1",28,9323045,9327893,4848,"D. rotundata","Ghana"
"-9","ALL_RunHi4c-TAG-57.bam","BDMI01000001.1",26,10693111,10694969,1858,"D. rotundata","Ghana"
"-9","ALL_RunHi4c-TAG-57.bam","BDMI01000005.1",31,12405036,12412697,7661,"D. rotundata","Ghana"
"-9","ALL_RunHi4c-TAG-57.bam","BDMI01000010.1",21,557887,561693,3806,"D. rotundata","Ghana"
"-9","ALL_RunHi4c-TAG-57.bam","BDMI01000017.1",28,9323045,9327893,4848,"D. rotundata","Ghana"
"-9","ALL_RunHi4c-TAG-58.bam","BDMI01000001.1",24,10693174,10694969,1795,"D. abyssinica x  D. rotundata","Ghana"
"-9","ALL_RunHi4c-TAG-58.bam","BDMI01000005.1",30,12404970,12412097,7127,"D. abyssinica x  D. rotundata","Ghana"
"-9","ALL_RunHi4c-TAG-58.bam","BDMI01000010.1",21,557887,561693,3806,"D. abyssinica x  D. rotundata","Ghana"
"-9","ALL_RunHi4c-TAG-58.bam","BDMI01000017.1",28,9323045,9327893,4848,"D. abyssinica x  D. rotundata","Ghana"
"-9","ALL_RunHi4c-TAG-59.bam","BDMI01000005.1",30,12405036,12412262,7226,"D. abyssinica","Ghana"
"-9","ALL_RunHi4c-TAG-59.bam","BDMI01000010.1",23,557325,561693,4368,"D. abyssinica","Ghana"
"-9","ALL_RunHi4c-TAG-59.bam","BDMI01000017.1",21,9325124,9327893,2769,"D. abyssinica","Ghana"
"-9","ALL_RunHi4c-TAG-60.bam","BDMI01000001.1",26,10693111,10694969,1858,"D. abyssinica","Ghana"
"-9","ALL_RunHi4c-TAG-60.bam","BDMI01000005.1",30,12405249,12412697,7448,"D. abyssinica","Ghana"
"-9","ALL_RunHi4c-TAG-61.bam","BDMI01000005.1",26,12404757,12411574,6817,"D. abyssinica","Ghana"
"-9","ALL_RunHi4c-TAG-61.bam","BDMI01000010.1",23,557325,561693,4368,"D. abyssinica","Ghana"
"-9","ALL_RunHi4c-TAG-62.bam","BDMI01000005.1",31,12405036,12412697,7661,"D. abyssinica","Ghana"
"-9","ALL_RunHi4c-TAG-62.bam","BDMI01000010.1",23,557325,561693,4368,"D. abyssinica","Ghana"
"-9","ALL_RunHi4c-TAG-95.bam","BDMI01000017.1",23,9324980,9327893,2913,"D. abyssinica","Ghana"
"-9","ALL_RunHi4c-TAG-98.bam","BDMI01000005.1",31,12405036,12412697,7661,"D. abyssinica","Ghana"
"-9","ALL_RunHi4c-TAG-98.bam","BDMI01000010.1",23,557325,561693,4368,"D. abyssinica","Ghana"
"-9","ALL_RunHi4c-TAG-99.bam","BDMI01000001.1",29,10693111,10695034,1923,"D. abyssinica","Ghana"
"-9","ALL_RunHi4c-TAG-99.bam","BDMI01000005.1",30,12405036,12412262,7226,"D. abyssinica","Ghana"
"-9","ALL_RunHi4c-TAG-99.bam","BDMI01000010.1",23,557325,561693,4368,"D. abyssinica","Ghana"
"-9","ALL_RunHi7c-TAG-102.bam","BDMI01000005.1",23,12404961,12411574,6613,"Western D. praehensilis","Nigeria"
"-9","ALL_RunHi7c-TAG-102.bam","BDMI01000010.1",22,557325,559237,1912,"Western D. praehensilis","Nigeria"
"-9","ALL_RunHi7c-TAG-11.bam","BDMI01000005.1",32,12405036,12421655,16619,"Cameroonian D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-11.bam","BDMI01000009.1",23,14890821,14905627,14806,"Cameroonian D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-11.bam","BDMI01000010.1",22,557887,579643,21756,"Cameroonian D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-12.bam","BDMI01000005.1",29,12405036,12412256,7220,"D. rotundata","Cameroon"
"-9","ALL_RunHi7c-TAG-12.bam","BDMI01000010.1",21,557887,561693,3806,"D. rotundata","Cameroon"
"-9","ALL_RunHi7c-TAG-13.bam","BDMI01000001.1",26,10693111,10694969,1858,"D. rotundata","Cameroon"
"-9","ALL_RunHi7c-TAG-13.bam","BDMI01000005.1",28,12405036,12412097,7061,"D. rotundata","Cameroon"
"-9","ALL_RunHi7c-TAG-15.bam","BDMI01000001.1",21,10694146,10695176,1030,"Cameroonian D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-15.bam","BDMI01000005.1",29,12405249,12412262,7013,"Cameroonian D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-15.bam","BDMI01000009.1",23,14890821,14905627,14806,"Cameroonian D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-15.bam","BDMI01000010.1",23,557325,561693,4368,"Cameroonian D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-16.bam","BDMI01000005.1",31,12405036,12412697,7661,"D. rotundata","Cameroon"
"-9","ALL_RunHi7c-TAG-17.bam","BDMI01000001.1",22,10694146,10697870,3724,"Cameroonian D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-17.bam","BDMI01000005.1",33,12405036,12422917,17881,"Cameroonian D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-17.bam","BDMI01000010.1",23,557325,561693,4368,"Cameroonian D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-18.bam","BDMI01000005.1",28,12405036,12412097,7061,"Cameroonian D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-18.bam","BDMI01000010.1",23,557325,561693,4368,"Cameroonian D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-19.bam","BDMI01000001.1",25,10693276,10695034,1758,"Cameroonian D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-19.bam","BDMI01000005.1",26,12405369,12412262,6893,"Cameroonian D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-19.bam","BDMI01000010.1",21,557887,561693,3806,"Cameroonian D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-20.bam","BDMI01000001.1",21,10694146,10695176,1030,"Cameroonian D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-20.bam","BDMI01000005.1",28,12405036,12412097,7061,"Cameroonian D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-20.bam","BDMI01000010.1",24,557366,579776,22410,"Cameroonian D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-21.bam","BDMI01000010.1",22,557366,561693,4327,"D. rotundata","Cameroon"
"-9","ALL_RunHi7c-TAG-22.bam","BDMI01000005.1",20,12405036,12411574,6538,"D. rotundata","Cameroon"
"-9","ALL_RunHi7c-TAG-22.bam","BDMI01000010.1",21,557325,559234,1909,"D. rotundata","Cameroon"
"-9","ALL_RunHi7c-TAG-22.bam","BDMI01000017.1",29,9324926,9337886,12960,"D. rotundata","Cameroon"
"-9","ALL_RunHi7c-TAG-25.bam","BDMI01000001.1",22,10694146,10697870,3724,"Cameroonian D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-25.bam","BDMI01000005.1",23,12405510,12412697,7187,"Cameroonian D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-25.bam","BDMI01000009.1",23,14890821,14905627,14806,"Cameroonian D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-25.bam","BDMI01000010.1",22,557366,561693,4327,"Cameroonian D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-26.bam","BDMI01000005.1",31,12404961,12412097,7136,"Cameroonian D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-26.bam","BDMI01000010.1",25,549981,561693,11712,"Cameroonian D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-27.bam","BDMI01000001.1",25,10693276,10695034,1758,"Cameroonian D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-27.bam","BDMI01000005.1",29,12405036,12412256,7220,"Cameroonian D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-27.bam","BDMI01000009.1",23,14890821,14905627,14806,"Cameroonian D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-27.bam","BDMI01000010.1",22,557366,561693,4327,"Cameroonian D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-28.bam","BDMI01000001.1",20,10693811,10695034,1223,"Cameroonian D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-28.bam","BDMI01000005.1",30,12405036,12412262,7226,"Cameroonian D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-28.bam","BDMI01000009.1",21,14890608,14893605,2997,"Cameroonian D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-29.bam","BDMI01000001.1",22,10694146,10697870,3724,"Cameroonian D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-29.bam","BDMI01000005.1",23,12404961,12411574,6613,"Cameroonian D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-29.bam","BDMI01000009.1",20,14890822,14894677,3855,"Cameroonian D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-29.bam","BDMI01000010.1",22,557887,579643,21756,"Cameroonian D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-30.bam","BDMI01000005.1",32,12405036,12421655,16619,"Cameroonian D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-30.bam","BDMI01000009.1",20,14890821,14893956,3135,"Cameroonian D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-30.bam","BDMI01000010.1",21,557887,561693,3806,"Cameroonian D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-31.bam","BDMI01000001.1",21,10694146,10695176,1030,"Cameroonian D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-31.bam","BDMI01000005.1",32,12405036,12421655,16619,"Cameroonian D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-31.bam","BDMI01000010.1",22,557366,561693,4327,"Cameroonian D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-32.bam","BDMI01000005.1",20,12405036,12411574,6538,"Cameroonian D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-32.bam","BDMI01000009.1",23,14890614,14893898,3284,"Cameroonian D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-33.bam","BDMI01000009.1",21,14890821,14894677,3856,"Cameroonian D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-33.bam","BDMI01000010.1",21,557887,561693,3806,"Cameroonian D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-34.bam","BDMI01000001.1",21,10694146,10695176,1030,"Cameroonian D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-34.bam","BDMI01000009.1",24,14890608,14893898,3290,"Cameroonian D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-35.bam","BDMI01000001.1",21,10694146,10695176,1030,"Cameroonian D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-35.bam","BDMI01000005.1",28,12405249,12412256,7007,"Cameroonian D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-35.bam","BDMI01000009.1",24,14890608,14893898,3290,"Cameroonian D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-35.bam","BDMI01000010.1",23,557366,579643,22277,"Cameroonian D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-37.bam","BDMI01000001.1",20,10693339,10694969,1630,"D. rotundata","Cameroon"
"-9","ALL_RunHi7c-TAG-37.bam","BDMI01000005.1",25,12405369,12412256,6887,"D. rotundata","Cameroon"
"-9","ALL_RunHi7c-TAG-37.bam","BDMI01000017.1",28,9323045,9327893,4848,"D. rotundata","Cameroon"
"-9","ALL_RunHi7c-TAG-38.bam","BDMI01000005.1",28,12405036,12412097,7061,"D. rotundata","Cameroon"
"-9","ALL_RunHi7c-TAG-38.bam","BDMI01000010.1",23,557325,561693,4368,"D. rotundata","Cameroon"
"-9","ALL_RunHi7c-TAG-38.bam","BDMI01000017.1",33,9323045,9337886,14841,"D. rotundata","Cameroon"
"-9","ALL_RunHi7c-TAG-40.bam","BDMI01000001.1",21,10693285,10694969,1684,"D. rotundata","Cameroon"
"-9","ALL_RunHi7c-TAG-40.bam","BDMI01000005.1",25,12405249,12412048,6799,"D. rotundata","Cameroon"
"-9","ALL_RunHi7c-TAG-40.bam","BDMI01000010.1",23,557325,561693,4368,"D. rotundata","Cameroon"
"-9","ALL_RunHi7c-TAG-40.bam","BDMI01000017.1",25,9323045,9327797,4752,"D. rotundata","Cameroon"
"-9","ALL_RunHi7c-TAG-41.bam","BDMI01000005.1",27,12405036,12412090,7054,"Western D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-41.bam","BDMI01000010.1",21,557887,561693,3806,"Western D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-42.bam","BDMI01000005.1",24,12405249,12411770,6521,"Western D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-42.bam","BDMI01000010.1",20,557887,559237,1350,"Western D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-43.bam","BDMI01000010.1",22,557366,561693,4327,"D. rotundata","Cameroon"
"-9","ALL_RunHi7c-TAG-43.bam","BDMI01000017.1",32,9323045,9328213,5168,"D. rotundata","Cameroon"
"-9","ALL_RunHi7c-TAG-45.bam","BDMI01000005.1",24,12405369,12412097,6728,"Western D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-45.bam","BDMI01000017.1",20,9325124,9327882,2758,"Western D. praehensilis","Cameroon"
"-9","ALL_RunHi7c-TAG-47.bam","BDMI01000005.1",28,12405249,12412256,7007,"D. rotundata","Cameroon"
"-9","ALL_RunHi7c-TAG-47.bam","BDMI01000010.1",21,557887,561693,3806,"D. rotundata","Cameroon"
"-9","ALL_RunHi7c-TAG-47.bam","BDMI01000017.1",33,9323045,9337886,14841,"D. rotundata","Cameroon"
"-9","ALL_RunHi7c-TAG-50.bam","BDMI01000009.1",20,14891006,14905697,14691,"Cameroonian D. praehensilis x D. abyssinica","Cameroon"
"-9","ALL_RunHi7c-TAG-51.bam","BDMI01000005.1",31,12405036,12412697,7661,"Cameroonian D. praehensilis x D. abyssinica","Cameroon"
"-9","ALL_RunHi7c-TAG-51.bam","BDMI01000009.1",25,14890821,14905697,14876,"Cameroonian D. praehensilis x D. abyssinica","Cameroon"
"-9","ALL_RunHi7c-TAG-51.bam","BDMI01000010.1",22,557366,561693,4327,"Cameroonian D. praehensilis x D. abyssinica","Cameroon"
"-9","ALL_RunHi7c-TAG-52.bam","BDMI01000009.1",25,14890821,14905697,14876,"Cameroonian D. praehensilis x D. abyssinica","Cameroon"
"-9","ALL_RunHi7c-TAG-55.bam","BDMI01000001.1",24,10693174,10694969,1795,"D. rotundata","Nigeria"
"-9","ALL_RunHi7c-TAG-55.bam","BDMI01000005.1",22,12405369,12412048,6679,"D. rotundata","Nigeria"
"-9","ALL_RunHi7c-TAG-55.bam","BDMI01000010.1",21,557887,561693,3806,"D. rotundata","Nigeria"
"-9","ALL_RunHi7c-TAG-57.bam","BDMI01000001.1",24,10693174,10694969,1795,"D. rotundata","Nigeria"
"-9","ALL_RunHi7c-TAG-57.bam","BDMI01000005.1",20,12405036,12411574,6538,"D. rotundata","Nigeria"
"-9","ALL_RunHi7c-TAG-57.bam","BDMI01000010.1",23,557325,561693,4368,"D. rotundata","Nigeria"
"-9","ALL_RunHi7c-TAG-57.bam","BDMI01000017.1",28,9323045,9327893,4848,"D. rotundata","Nigeria"
"-9","ALL_RunHi7c-TAG-59.bam","BDMI01000001.1",26,10693111,10694969,1858,"D. rotundata","Nigeria"
"-9","ALL_RunHi7c-TAG-59.bam","BDMI01000005.1",31,12405036,12412697,7661,"D. rotundata","Nigeria"
"-9","ALL_RunHi7c-TAG-59.bam","BDMI01000010.1",21,557887,561693,3806,"D. rotundata","Nigeria"
"-9","ALL_RunHi7c-TAG-59.bam","BDMI01000017.1",28,9323045,9327893,4848,"D. rotundata","Nigeria"
"-9","ALL_RunHi7c-TAG-60.bam","BDMI01000001.1",24,10693174,10694969,1795,"D. rotundata","Nigeria"
"-9","ALL_RunHi7c-TAG-60.bam","BDMI01000010.1",21,557887,561693,3806,"D. rotundata","Nigeria"
"-9","ALL_RunHi7c-TAG-61.bam","BDMI01000005.1",30,12405036,12412262,7226,"D. rotundata","Nigeria"
"-9","ALL_RunHi7c-TAG-61.bam","BDMI01000010.1",23,557325,561693,4368,"D. rotundata","Nigeria"
"-9","ALL_RunHi7c-TAG-61.bam","BDMI01000017.1",28,9323045,9327893,4848,"D. rotundata","Nigeria"
"-9","ALL_RunHi7c-TAG-62.bam","BDMI01000005.1",23,12404961,12411574,6613,"D. rotundata","Nigeria"
"-9","ALL_RunHi7c-TAG-62.bam","BDMI01000010.1",25,549981,561693,11712,"D. rotundata","Nigeria"
"-9","ALL_RunHi7c-TAG-64.bam","BDMI01000005.1",30,12405036,12412262,7226,"D. rotundata","Nigeria"
"-9","ALL_RunHi7c-TAG-64.bam","BDMI01000010.1",21,557887,561693,3806,"D. rotundata","Nigeria"
"-9","ALL_RunHi7c-TAG-64.bam","BDMI01000017.1",32,9323045,9328213,5168,"D. rotundata","Nigeria"
"-9","ALL_RunHi7c-TAG-65.bam","BDMI01000005.1",30,12405036,12412262,7226,"D. rotundata","Nigeria"
"-9","ALL_RunHi7c-TAG-65.bam","BDMI01000010.1",23,557325,561693,4368,"D. rotundata","Nigeria"
"-9","ALL_RunHi7c-TAG-65.bam","BDMI01000017.1",26,9323655,9327893,4238,"D. rotundata","Nigeria"
"-9","ALL_RunHi7c-TAG-66.bam","BDMI01000005.1",28,12405036,12412097,7061,"D. rotundata","Nigeria"
"-9","ALL_RunHi7c-TAG-66.bam","BDMI01000010.1",21,557887,561693,3806,"D. rotundata","Nigeria"
"-9","ALL_RunHi7c-TAG-68.bam","BDMI01000001.1",27,10597677,10694969,97292,"D. rotundata","Nigeria"
"-9","ALL_RunHi7c-TAG-68.bam","BDMI01000005.1",31,12405036,12412697,7661,"D. rotundata","Nigeria"
"-9","ALL_RunHi7c-TAG-68.bam","BDMI01000010.1",23,557325,561693,4368,"D. rotundata","Nigeria"
"-9","ALL_RunHi7c-TAG-68.bam","BDMI01000017.1",28,9323045,9327893,4848,"D. rotundata","Nigeria"
"-9","ALL_RunHi7c-TAG-69.bam","BDMI01000005.1",32,12404970,12412262,7292,"D. rotundata","Nigeria"
"-9","ALL_RunHi7c-TAG-70.bam","BDMI01000005.1",30,12405036,12412262,7226,"D. abyssinica","Nigeria"
"-9","ALL_RunHi7c-TAG-70.bam","BDMI01000010.1",21,557887,561693,3806,"D. abyssinica","Nigeria"
